x,cluster
18.9,2
10.0,2
10.0,2
60.0,2
57.2,2
16.5,2
43.1,2
16.5,2
10.0,2
15.9,2
10.0,2
113.5,2
101.8,2
99.6,2
84.0,2
124.0,2
134.6,2
84.9,2
135.5,2
55.0,2
53.1,2
52.4,2
51.8,2
77.9,2
96.2,2
70.5,2
182.1,2
42.2,2
174.8,2
152.0,2
51.0,2
769.7,1
1082.9,1
848.1,1
893.3,1
378.9,3
400.4,3
297.8,3
